Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,05/17/2024 18:12,Denver,CO,USA,Changing,Metallic sparkling shape shifting object spotted overhead moving at speed of jet from west to east a straight line viewed with binocs,05/17/2024,,Balloon?
Open,05/16/2024 0:40,Cumming,GA,USA,Triangle,"Saw a triangle of three faint red lights, it did not move in a straight line",05/15/2024,,
Open,05/11/2024 21:46,Parlier,CA,USA,Diamond,The strange orb was blue and weird it lasted for about 2 minutes,05/11/2024,,
Open,05/11/2024 7:13,Redmond,OR,USA,Other,"Jellyfish style UAP traveling from the west, to the east",05/11/2024,Y,
Open,05/07/2024 15:00,Anderson,SC,USA,Flash,I saw a bright flash and then the light moved from right to left and zoomed off quickly,08/01/2024,,
Open,05/02/2024 20:06,Buckeye,AZ,USA,Light,"Flying westbound at 43000’ object was opposite direction, appeared to be orbital alt and speed, large aura around object.",05/03/2024,Y,Rocket
Open,05/01/2024 22:30,,Delhi,India,Star,Saw 20-30 stars emerge in from the Auriga constellation and travel and turned conspicuously east of Star Capella,05/01/2024,,
Open,04/29/2024 18:15,Clinton,MO,USA,Changing,Weather balloon? Altitude was about 5000 feet guestamation. Unable to get ahold of WAFB for info,05/02/2024,Y,Balloon
Open,04/27/2024 20:45,Avon,NC,USA,Cone,The object was brightly lit with a large spread out vapor/smoke trail,04/27/2024,Y,Rocket
Open !,04/24/2024 3:00,,,International Waters,Light,Multiple objects above our altitude.,04/24/2024,Y,
Open,04/12/2024 20:31,Tulsa,OK,USA,Changing,Bright flash in the sky. Then light dimmed to no light. UFO had additional lights. Another bright flash and it was gone,04/12/2024,,
Open !,04/12/2024 20:10,Yucca,AZ,USA,Oval,"I witnessed and filmed an oblong object moving in the sky with no noise, a large directional light and window.",04/15/2024,Y,
Open,04/02/2024 12:30,Goodyear,AZ,USA,Sphere,Two silent objects slowly drifting and changing direction of travel.,04/03/2024,Y,
